,Timestamp,F_score,Accuracy,loss,batch_size,learning_rate,Training_DATASET,Continue_with_last_saved_model
46,2020-10-28 16:22:33.152624,0.8172268638331696,0.8151629207441661,264.4253,400,0.001,OPPORTUNITY - 18 classes,True
47,2020-10-28 16:22:59.718615,0.697686986662035,0.6707172814281106,266.35962,400,0.001,OPPORTUNITY - 18 classes,True
48,2020-10-28 16:23:25.673397,0.8085074663665015,0.8016130766749113,263.30722,400,0.001,OPPORTUNITY - 18 classes,True
49,2020-10-28 16:23:50.855073,0.7434759840756467,0.7319711796967416,263.27292,400,0.001,OPPORTUNITY - 18 classes,True
50,2020-10-28 16:24:17.050638,0.8250292424367731,0.8195289816109259,261.32785,400,0.001,OPPORTUNITY - 18 classes,True
51,2020-10-28 16:24:43.697323,0.7296953249776186,0.7168942897085708,264.1484,400,0.001,OPPORTUNITY - 18 classes,True
52,2020-10-28 16:25:09.323253,0.7875869570395833,0.7734380040864609,266.34982,400,0.001,OPPORTUNITY - 18 classes,True
53,2020-10-28 16:25:35.934446,0.773407264694262,0.7591138832132487,269.5383,400,0.001,OPPORTUNITY - 18 classes,True
54,2020-10-28 16:26:02.266016,0.7583382428777605,0.7411334552102377,265.60892,400,0.001,OPPORTUNITY - 18 classes,True
55,2020-10-28 16:26:27.404820,0.7910025960949776,0.7842778793418648,264.7705,400,0.001,OPPORTUNITY - 18 classes,True
56,2020-10-28 16:26:53.605823,0.7066541357910253,0.683600387138402,264.87836,400,0.001,OPPORTUNITY - 18 classes,True
57,2020-10-28 16:27:18.880102,0.8110384004097707,0.8062157221206582,263.37692,400,0.001,OPPORTUNITY - 18 classes,True
58,2020-10-28 16:27:44.940283,0.7453331118112451,0.7261856113560597,266.18246,400,0.001,OPPORTUNITY - 18 classes,True
